word,definition
bush,灌木，灌木丛
consume,消耗，消费
lag,落后；延迟
similar,相似的
hair,头发；毛发
beard,胡须，络腮胡子
investigate,调查
situation,形势；处境
principal,主要的；校长
bark,吠叫声；吠，叫
gold,金，黄金
proposal,提议；建议
australian,澳大利亚的
partner,伙伴；配偶
component,组成部分；组件
worse,更坏的
height,高度；身高
glorious,光荣的；壮丽的
wave,波浪；挥手
latter,后者的
theater,剧院
civil,国内的；公民的
sophisticated,复杂的；精密的
school,学校
inevitable,不可避免的
worry,担心；烦恼
biscuit,(英)饼干；(美)软饼
upon,在…之上
conceal,隐藏，隐瞒
strength,力量；强度
jewel,宝石；珠宝
jail,监狱
mineral,矿物
accuracy,准确(性)；准确度
ice,冰
due,到期的；应有的
treatment,治疗；待遇
more,更多的；更多
village,村庄
appreciate,欣赏；领会；感谢
union,工会；联合
gentle,温柔的；文雅的
still,仍然；静止的
attractive,有吸引力的
opposite,对面的；相反的
lot,许多；签
convert,转变，转化
improve,改善，提高
team,队；组
international,国际的
extend,延伸；扩大
increase,增加，增长
courage,勇气，胆量
soap,肥皂
govern,统治，管理
formation,形成；构成
rage,愤怒；狂暴
confirm,证实，肯定；批准
awkward,笨拙的；尴尬的
parent,父亲；母亲
exist,存在；生存
anxious,忧虑的；渴望的
user,用户
primarily,主要地
factory,工厂
vacation,假期
capacity,容量；能力；能量
chemical,化学的；化学制品
some,一些；某个
insert,插入；嵌入
red,红色的
appropriate,适当的，恰当的
land,陆地；降落
little,小的；少的
complete,完整的；完成
fond,喜爱的；溺爱的
quarrel,争吵
rhythm,节奏；韵律
extraordinary,非凡的，特别的
garage,车库；汽车修理厂
compound,化合物；复合的
cure,治愈；消除
cough,咳嗽
cheerful,快乐的，高兴的
private,私人的；私立的
consult,请教；查阅
basketball,篮球；篮球运动
fantastic,奇异的；极好的
editor,编辑，编者
hunger,饥饿
wash,洗
sense,感觉；意义
greece,希腊
campus,校园，学校场地
run,跑；经营
begin,开始
folk,人们；民间的
please,请；使高兴
anyway,无论如何
guarantee,保证；担保
concerning,关于
white,白色的
deserve,应受，值得
also,亦，也；而且，还
stare,凝视
obvious,明显的
tongue,舌头；语言
life,生命；生活
point,点；要点；指向
bike,自行车；骑自行车
forecast,预测；预报
scholarship,奖学金
desert,沙漠；抛弃
stage,阶段；舞台
measurement,测量；尺寸
execute,执行；处决
satisfaction,满意
who,谁
drunk,醉的
express,表达；快递
lucky,幸运的
nervous,紧张的；神经的
reserve,储备；保留
announce,宣布，宣告，发表
chicken,鸡；鸡肉
property,财产；性质
alive,活着的；活跃的
adventure,冒险；惊险活动
sea,海，海洋
diary,日记，日记簿
meat,肉
participate,参加，参与
never,从不，决不
look,看；显得
alike,同样的，相同的
relevant,相关的
champion,冠军；拥护者
clever,聪明的；机敏的
finding,发现；调查结果
phenomenon,现象
scholar,学者
among,在…之中
delight,使高兴；快乐
bank,银行；库；岩，堤
operate,操作；动手术
triumph,胜利
steal,偷，窃取
fierce,凶猛的；猛烈的
musical,音乐的
judge,法官；评判
medicine,药；医学
realize,实现；认识到
describe,描述，形容
exclusive,独有的；排他的
stranger,陌生人
vast,巨大的；广阔的
dot,点，圆点
suppose,假定；猜想
believe,相信；认为
nod,点头
formal,正式的；礼仪的
bare,赤裸的；仅仅的
factor,因素；要素
beginning,开始，开端；起源
blast,爆炸，冲击波；炸
careful,小心的，仔细的
badminton,羽毛球
proper,适当的；正当的
true,真的；正确的
maximum,最大的；最大值
focus,集中；焦点
loyal,忠诚的
nowhere,任何地方都不
confine,限制；禁闭
obstacle,障碍，阻碍
dump,倾倒；垃圾堆
invest,投资
instance,例子；实例
reach,到达；伸手
opponent,对手；反对者
smell,气味；闻
because,由于，因为
competition,竞争，比赛
luggage,行李
jacket,短上衣，夹克
mainland,大陆
coal,煤，煤块
preparation,准备
observe,观察；遵守
effect,效果；作用
notebook,笔记本
explain,解释；说明
requirement,要求；需要
recover,恢复；痊愈
arrow,箭；箭状物
delay,推迟；延误
upper,上面的
magazine,杂志
giant,巨人；巨大的
stop,停止；车站
interesting,有趣的
beg,乞求；请求
line,线；排；行
ache,痛；想念；疼痛
crude,天然的；粗野的
side,边；方面
vital,至关重要的
dare,敢；胆敢
flexible,灵活的；柔韧的
reason,原因；理由
crown,王冠，冕
example,例子；榜样
declare,宣布，声明
pilot,飞行员；领航员
priest,牧师；神父
annoy,使恼怒；打搅
diagram,图解，图表
opinion,意见；看法
degree,度；程度；学位
track,轨道；跟踪
make,制造；使
possibly,可能地
pacific,太平洋的
speak,说话；讲
frontier,边境；前沿
equipment,装备，设备
ongoing,进行中的
brush,刷子；画笔
quite,相当；十分
element,元素；要素
secretary,秘书
august,八月
behind,在…后面
waste,浪费；废物
wind,风；缠绕
thorough,彻底的
proceed,继续进行
athlete,运动员；田径运动员
together,一起；同时
permit,允许；许可证
career,生涯，职业；经历
human,人的；人类
respect,尊敬；方面
jury,陪审团
regulate,调节；管理
love,爱；热爱
wish,愿望；希望
abuse,滥用；虐待
airport,机场，航空站
eye,眼睛；视力
crash,碰撞；坠落；坠毁
brand,商品；牌子；商标
afterward,后来，以后
club,俱乐部；社团
steer,驾驶；掌舵
eight,八
rain,雨；下雨
expose,暴露；揭露
though,虽然；可是
gang,一群；帮派
cheese,奶酪，干酪
aside,在旁边，到旁边
quote,引用；报价
conclusion,结论，推论；结尾
assess,对(财产等)估价
request,请求；要求
hook,钩；挂钩
bound,一定的；有义务的
mechanism,机制；机械装置
daily,每日的；日报
democratic,民主的
familiar,熟悉的；亲近的
remark,评论；话语
rigid,僵硬的；严格的
salary,薪水
range,范围；山脉
chain,链，链条；项圈
any,什么，一些；任何的
fur,毛皮；软毛
welcome,欢迎
obligation,义务，责任
pause,暂停；中止
introduce,介绍；引进
barrier,栅栏，屏障；障碍
quit,离开；放弃
anywhere,在什么地方
extent,程度；范围
threat,威胁
imaginary,想象的；虚构的
commerce,商业，贸易
hammer,锤子；锤击
coat,外套，上衣；涂层
continuous,连续不断的
truth,真理；真相
comrade,同志，同事
touch,触摸；感动
database,数据库
conversion,转变，转化；改变
survey,调查；测量
parallel,平行的；类似的
normally,通常，正常地
merely,仅仅，只不过
purpose,目的；用途
narrow,狭窄的
relatively,相对地
too,也；太
ampere,安培
crisis,危机
forth,向前；向外
tax,税；征税
back,在后；回原处；回
beneficial,有利的，有益的
absorb,吸收；使专心
confront,面对；对抗
shelter,避难所；保护
palm,手掌
keyboard,键盘
grandfather,祖父，外祖父
pull,拉，拖
park,公园；停车
ad,广告
cell,细胞；小房间
globe,地球；球体
jealous,嫉妒的
fortune,命运；财产
fancy,想象；爱好
activity,活动；活力；行动
therapy,治疗
flow,流动；流量
natural,自然的；天然的
fat,脂肪；肥胖的
fetch,拿来；请来
invade,侵入，侵略
permission,允许，许可
especially,特别，尤其
decision,决定；决心
swim,游泳
brick,砖，砖块
shortly,不久；简短地
charity,施舍；慈善事业
party,聚会；政党
none,没有任何东西
restaurant,餐厅
last,最后的；持续
organ,器官；机构
lock,锁；锁上
breath,气息；呼吸
dispute,争论，争执
solution,解决方案；溶液
modest,谦虚的；适度的
unemployment,失业
dry,干的；干燥
excitement,兴奋，激动
arrangement,整理，排列；安排
senior,年长的；高级的
cock,公鸡；旋塞
fabric,织物；结构
child,孩子，儿童
strange,奇怪的；陌生的
lesson,课；教训
revenue,收入；税收
hit,打；击中
leak,漏；泄漏
connection,连接；关系
curtain,窗帘，幕布
used,使用过的；习惯于
she,她
companion,同伴；伴侣
large,大的；大量的
essential,本质的；必要的
ounce,盎司
yeah,是的
pool,水池；游泳池
mass,大量；群众
interfere,干涉，介入
contribution,贡献；捐献
subject,主题；学科；使遭受
highly,高度地；非常
approximately,近似地，大约
deed,行为；事迹；契约
appointment,任命；约定，约会
apart,相隔；分开；除去
safety,安全
tire,轮胎；使疲倦
america,美洲；美国
oil,油；石油
geography,地理，地理学
barber,理发师
convention,习俗，惯例；大会
whose,谁的
friend,朋友
nothing,什么也没有
deceit,欺骗，欺诈
code,代码，密码；法规
approval,赞成，同意；批准
talk,谈话；演讲
prior,在前的；优先的
resolution,决心；解决
despair,绝望
itself,它自己
compromise,妥协，折衷
youth,青春；青年
pronounce,发音；宣布
process,过程；加工
decline,下降；衰退；谢绝
bounce,反跳，弹起；跳起
lean,倾斜；倚靠
ham,火腿
entertain,使娱乐；招待
hurt,伤害；疼痛
force,力；强迫
reverse,相反的；颠倒
lake,湖
tape,磁带；胶带
grain,谷物；颗粒
remind,提醒
mine,矿；我的
within,在…之内
watch,观看；手表
drown,淹死，淹没
propose,提议；推荐
shall,将要
succeed,成功；继承
row,排；划船
near,近的；靠近
special,特别的；专门的
locate,使…坐落于
sky,天空
expect,预期；期望
finish,完成；结束
field,田地；领域
chance,机会，机遇；可能性
attitude,态度，看法；姿势
amaze,使惊奇，使惊愕
tired,疲倦的
pound,磅；英镑
comfort,安慰；舒适
anxiety,焦虑，忧虑；渴望
plug,插头；塞子
vocabulary,词汇
ground,地面；根据
doctor,医生；博士
wing,翅膀
genuine,真的；真诚的
successful,成功的
nowadays,现今，现在
know,知道；了解
tower,塔
mild,温和的；轻微的
additional,附加的，追加的
flower,花
want,要；想要
why,为什么
economy,经济；节约
forward,向前的；前进
twin,双胞胎
impression,印象；感想
hardly,几乎不；刚刚
afraid,害怕的；担心的
self,自己
that,那；那个
drive,驾驶；驱动
desirable,合乎需要的；理想的
psychological,心理的
teacher,教师
each,每个，每
constitute,构成，组成
imitate,模仿，仿效
several,几个；各自的
discover,发现；暴露
year,年
him,他
take,拿；带；花费
effort,努力；成就
weekend,周末
herself,她自己
attract,吸引；引起，诱惑
aim,瞄准，针对；致力
caution,小心；警告
yes,是
strong,强壮的；坚强的
comment,评论，意见
rank,等级；军衔
business,商业，生意；事务
incredible,难以置信的
independent,独立的；自主的
conservative,保守的；保守派
accompany,陪伴，陪同；伴随
author,作者，作家
active,活跃的；积极的
learn,学习；得知
tool,工具
asia,亚洲
behave,表现，举止；运转
vessel,容器；船只
candle,蜡烛
rude,粗鲁的
aural,耳的，听觉的
bacteria,细菌
laugh,笑；大笑
character,性格；特性；角色
about,关于；在…周围
extensive,广泛的；大量的
lung,肺
indeed,真正地；确实
tide,潮汐；趋势
ill,有病的；坏的
communism,共产主义
bulk,物体，容积；大批
legal,法律的；合法的
internal,内部的；国内的
representative,代表；典型的
wide,宽的；广泛的
strict,严格的
scratch,抓；刮
humor,幽默，诙谐
perfect,完美的；完全的
amongst,在…之中(=among)
proud,骄傲的；自豪的
evening,傍晚，晚上
operator,操作员
attentive,注意的；有礼貌的
cage,笼；鸟笼
complain,抱怨；控告
income,收入，收益
agreement,协定，协议；同意
achieve,完成，实现；达到
penalty,处罚；罚款
scene,景色；场景
flood,洪水；淹没
boss,老板，上司；指挥
freeze,冻结；凝固
while,当…的时候；虽然
negative,否定的；消极的
nose,鼻子
knowledge,知识，学问
atomic,原子的；原子能的
bind,捆绑；包扎；装钉
channel,海峡；渠道；频道
strike,罢工；打击
alphabet,字母表，字母系统
punch,拳打；冲孔
toy,玩具
swallow,吞下；燕子
yellow,黄色的
contemporary,当代的；同龄人
story,故事；楼层
argue,争论，争辩，辩论
constitution,宪法；体质
status,地位；状况
burst,爆炸；破裂
departure,离开，出发
depart,离开，出发
smart,聪明的；时髦的
smoke,烟；吸烟
payment,支付；付款
adjust,调整，调节；校正
chart,图表；航海图
palace,宫殿
cup,杯子
favor,好感；赞同；恩惠
visual,视觉的
journey,旅行，旅程
area,面积；地区；领域
form,形式；形状；形成
dairy,牛奶场；乳制品
try,尝试；试图
barn,谷仓；牲口棚
hard,硬的；困难的
hesitate,犹豫，踌躇
university,大学
welfare,福利
refuse,拒绝
terrible,可怕的；极度的
god,神，上帝
hide,隐藏；躲藏
search,搜寻；搜索
fulfill,履行；实现
contradiction,矛盾；反驳
desperate,绝望的；不顾一切的
repeat,重复
available,可利用的；通用的
emit,发射；散发
pop,流行的；砰的一声
burden,担子，负担；装载
arabian,阿拉伯的
tuck,塞进；卷起
sweat,汗；出汗
partly,部分地；在一定程度上
advantage,优点，优势；好处
tremendous,巨大的
afternoon,下午，午后
sink,下沉；沉没
associate,交往；伙伴，同事
sure,确信的；一定的
foot,脚；英尺
clear,清晰的；清除
gradually,逐渐地
plot,情节；阴谋
difference,差别；差；分歧
organize,组织
fit,适合；健康的
although,尽管，虽然
food,食物，食品
bread,面包
far,远的；遥远
married,已婚的
communication,通讯；交流；信息
essay,文章，散文
minister,部长；牧师
pit,坑；深渊
feel,感觉；觉得
relate,有关；讲述
dirt,尘，土；污物
bullet,子弹，枪弹
retreat,撤退
vote,投票；选举
contrary,相反的；对立面
trick,诡计；欺骗
flat,平坦的；公寓
invitation,邀请；请帖
permanent,永久的；持久的
expansion,扩大；扩充
pin,钉子；别针
robot,机器人
historic,有历史意义的
recognize,认出；承认
contest,竞争，比赛
own,自己的；拥有
attain,达到，获得，完成
emerge,出现；浮现
now,现在
accommodate,容纳；供应，供给
cow,母牛，奶牛
indicate,标示；表明
apple,苹果，苹果树
contact,接触，联系
solid,固体的；坚固的
nonetheless,然而
telephone,电话
refresh,使清新；刷新
create,创造；产生
necessary,必要的；必需的
furniture,家具
regret,遗憾；后悔
gain,获得；增加
law,法律；定律
breeze,微风，和风
pet,宠物
honest,诚实的，正直的
awfully,令人畏惧的；很
angry,愤怒的，生气的
mouth,嘴，口腔
dinner,正餐，主餐
assignment,任务，指定的作业
instead,代替；反而
comprehension,理解；理解力
legend,传说；传奇
himself,他自己
sequence,顺序；系列
instruction,命令；教学
music,音乐
orange,橙子；橙色的
minority,少数
spare,多余的；抽出
one,一
eager,渴望的，热切的
communist,共产主义者
enemy,敌人；仇敌
headache,头痛
title,标题；头衔
critical,批评的；危急的
confuse,使混乱，混淆
social,社会的；社交的
return,返回；归还
explicit,明确的；清楚的
bend,使弯曲；弯曲
casual,偶然的；随便的
wet,湿的
ambulance,救护车；野战医院
limit,限制；界限
federal,联邦的；联邦制的
another,再一个的；别的
unique,唯一的；独特的
challenge,挑战
dress,女服；穿衣
skirt,裙子
deliberate,故意的；深思熟虑的
grateful,感激的
town,城镇
examination,考试；检查
noisy,嘈杂的
arbitrary,随心所欲的；专断的
accordance,一致；和谐；授予
scientific,科学的
super,极好的；超级的
africa,非洲
explode,爆炸；爆发
silence,沉默；寂静
winter,冬天
how,怎么；多么
disappoint,使失望
sentence,句子；判决
muscle,肌肉
husband,丈夫
shame,羞耻；遗憾
fair,公平的；晴朗的
parade,游行；阅兵
drawing,图画；绘图
known,已知的
extreme,极端的；极度的
somebody,某人
shock,震惊；电击
bake,烤，烘，焙；烧硬
universal,普遍的；全世界的
exception,例外
membership,成员资格
suggestion,建议
durable,耐用的；持久的
material,材料；素材
duck,鸭，鸭肉
maybe,大概，或许
different,不同的；各种的
chew,嚼，咀嚼
normal,正常的；标准的
young,年轻的
sorry,对不起；遗憾的
basis,基础，根据
rescue,营救，援救
compute,计算
consist,由…组成；在于
inward,向内的；内心的
submit,提交；服从
choice,选择，抉择
lay,放；铺设
history,历史
gulf,海湾
expensive,昂贵的
war,战争
warm,温暖的
apply,应用，实施，使用
scale,规模；比例；刻度
string,绳子；弦
test,测试；试验
living,活的；生计
parcel,包裹
thread,线；线索
leave,离开；留下
beneath,在…下方
punishment,惩罚
except,除…之外
direct,直接的；指导
system,系统；制度
stand,站；忍受
nature,大自然；本性
fire,火；火灾；解雇
wheel,轮子
formula,公式；配方
tail,尾巴
initial,最初的；词首的
gallery,画廊；美术馆
trend,趋势；倾向
military,军事的；军队
banana,香蕉；芭蕉属植物
clue,线索；暗示
invention,发明，创造
childhood,童年，幼年
addition,加，加法；附加物
mark,痕迹；分数；标记
bless,为…祝福
like,喜欢；像
swear,发誓；咒骂
frequency,频率；频繁
nurse,护士；保姆
provide,提供
angel,天使，神差，安琪儿
nine,九
climb,攀登，爬
identify,认出；识别
housing,住房；住宅
time,时间；次
fix,固定；修理
apparatus,器械，仪器；器官
investment,投资；投资额
presence,出席；存在
satellite,卫星
discussion,讨论，论述
convey,传送；传达
fluent,流利的
settlement,解决；定居点
honor,荣誉；尊敬
fresh,新鲜的；新颖的
gift,礼物，赠品
shore,岸；海滨
lose,丢失；输掉
clap,拍手；轻拍
neat,整洁的；简洁的
understand,理解；了解
violence,暴力
pride,骄傲；自豪
else,其他；否则
under,在…下面
garden,花园，菜园
salt,盐
realistic,现实的
aware,知道的，意识到的
chairman,主席；议长
often,经常
core,核心；果实的心
hungry,饥饿的
chin,下巴，颏
margin,边缘；余地
recovery,恢复；痊愈
minus,减的；负的
much,很多；非常
job,工作；职业
engage,从事；吸引；雇用
old,老的；旧的
exit,出口；退场
plastic,塑料的；塑料
cloud,云
bureau,局，司，处；社
meal,膳食，一餐
bridge,桥，桥梁
precise,精确的
rapid,迅速的
interval,间隔；休息
actual,实际的；现行的
festival,节日；庆祝
collect,收集；聚集
tuesday,星期二
role,角色；作用
steel,钢
mutual,相互的；共同的
stuff,东西；材料
excess,超过；过量
sun,太阳
weight,重量；体重
storm,暴风雨
arrange,筹备；整理；调解
list,列表；名单
northern,北方的
whom,谁(宾格)
output,产量；输出
conversation,会话，谈话
as,当…的时候
item,项目；条款
meaning,意义；含义
sake,缘故
aboard,在船(车)上；上船
order,命令；顺序；订购
intelligence,智力；情报
budget,预算
follow,跟随；遵循
restrict,限制
voluntary,自愿的
being,存在；生物；生命
reveal,揭示；透露
and,和，又，并，则
inside,在里面；内部
press,压；按；新闻界
no,没有；不
south,南，南方
found,创立，创办；找到
come,来，来到；出现
booth,货摊；公用电话亭
floor,地板；楼层
frighten,使惊恐
silly,愚蠢的
goal,目标；球门
mill,磨坊；工厂
berry,浆果(如草莓等)
promise,诺言；答应
romantic,浪漫的
construct,建造；建设
retain,保留；保持
shirt,衬衫
outstanding,杰出的；显著的
stroke,中风；击
conflict,争论；冲突；斗争
resource,资源
emphasis,强调，重点
affair,事情，事件；事务
topic,题目；主题
beside,在…旁边
repair,修理
dream,梦；做梦
refer,提到；参考
leadership,领导
sport,运动
bathroom,浴室；盥洗室
liberate,解放；释放
new,新的
picture,图画；照片
novel,小说；新奇的
strategy,策略；战略
silent,沉默的
famous,著名的
midnight,午夜
canal,运河；沟渠
lie,躺；说谎
excite,使兴奋；引起
tunnel,隧道
compel,强迫，迫使
at,在…里；在…时
wednesday,星期三
chemistry,化学
electron,电子
star,星；明星
shape,形状；塑造
plate,盘子；板块
brown,褐色的，棕色
undergo,经历；遭受
crawl,爬行
surround,包围
digital,数字的；计数的
axis,轴，轴线；中心线
manage,管理；设法
eventually,终于；最后
excessive,过多的，极度的
die,死，死亡
always,总是，一直；永远
exhibition,展览；展览会
milk,牛奶；乳制品
problem,问题；难题
into,进入；变成
absolute,绝对的；纯粹的
coffee,咖啡
band,乐队；带；波段
population,人口
conference,会议，讨论会
dismiss,打发；解雇
coin,硬币，钱币
bay,湾；山脉中的凹处
stress,压力；强调
wage,工资
damp,潮湿的
bleed,出血，流血；泌脂
atlantic,大西洋的；大西洋
sometimes,有时
later,后来；过会儿
expression,表达；词句
literature,文学；文献
machine,机器；机械
ruin,毁灭；废墟
paint,油漆；画
designer,设计师
joke,笑话；开玩笑
practice,练习；实践
bus,公共汽车
source,来源；水源
beef,牛肉；菜牛
treasure,财宝；珍视
previous,以前的
classic,古典的；一流的
cliff,悬崖，峭壁
artificial,人工的；娇揉造作的
balance,使平衡；称；天平
nephew,侄子，外甥
insist,坚持；坚决要求
australia,澳大利亚
brilliant,光辉的；卓越的
moon,月亮
drought,旱灾，干旱
arouse,引起，唤起；唤醒
continent,大陆，陆地
gather,聚集；收集
likely,可能的
morning,早晨，上午
mile,英里
everything,每件事物
protect,保护
act,行动；见效；行为
boil,沸腾；汽化；煮沸
rate,比率；速度
yet,然而；还
expand,扩大；展开
warn,警告
ash,灰，灰末；骨灰
applicable,能应用的；适当的
enjoy,享受；欣赏
captain,队长；船长；上尉
rise,上升；上涨
actually,实际上；竟然
fairly,相当；公平地
space,空间；太空
hand,手；指针；递交
destination,目的地
export,输出，出口
council,理事会，委员会
blood,血，血液；血统
ever,曾经；无论何时
paper,纸；论文
entire,全部的；完整的
musician,音乐家
deepen,加深；深化
third,第三
contract,合同，契约
personality,个性；人格
butter,黄油；奶油
wooden,木制的
corridor,走廊，回廊
cabin,小屋；船舱
diamond,钻石，金刚石
urgent,紧急的
fast,快的；牢固的
employment,雇用；职业
unity,团结；统一
grant,授予；同意
frame,框架；画框
them,他们
lack,缺乏；不足
winner,获胜者
peace,和平；平静
position,位置；职位
shift,转变；轮班
hello,你好
quarter,四分之一；季度
fashion,时尚；方式
district,区；地区
summary,总结；摘要
deny,否认；拒绝
expert,专家
beyond,在…的那边
admission,允许进入；承认
lover,爱人；爱好者
neglect,忽视，忽略
moist,潮湿的
display,陈列，展览
post,邮政；岗位；张贴
stone,石头
speed,速度
distance,距离；远处
trust,信任；委托
corner,角；角落；拐角
otherwise,否则；另外
accustomed,惯常的；习惯的
technology,技术
enthusiasm,热情，热心
equivalent,相等的；等价物
gate,大门；登机口
earthquake,地震
grey,灰色的；灰色
dear,亲爱的；贵的
naturally,自然地；天生地
reward,报酬；奖赏
for,为了；因为
servant,仆人
all,全部的；全部
fund,资金；基金
retire,退休；撤退
profile,侧面；轮廓
seem,似乎，好像
ditch,沟，渠
mad,发疯的；恼火的
equation,方程(式)；等式
beginner,初学者，生手
document,文件；文献
fly,飞；飞行
emergency,紧急情况；突发事件
receive,收到；接待
lend,借出
require,需要；要求
museum,博物馆
round,圆的；围绕
employ,雇用；用
page,页
congratulate,祝贺，向…道喜
leisure,空闲时间；悠闲
ultimate,最终的；根本的
mathematics,数学
handy,手边的；方便的
least,最少的
borrow,借，借用，借入
neck,脖子
sacrifice,牺牲；献祭
action,行动；作用；功能
general,总的；一般的
success,成功
await,等候，期待
heritage,遗产；传统
victim,受害者
perceive,察觉；理解
glory,光荣；荣誉
anybody,任何人
priority,优先权
trail,痕迹；小径
relationship,关系
fail,失败；不及格
boast,自夸；吹嘘
distribute,分发；分布
recall,回想；召回
bar,酒吧间；条，杆；栅
cream,奶油，乳脂
infection,传染；感染
hobby,业余爱好
rule,规则；统治
fiction,小说；虚构
ahead,在前；向前；提前
purchase,购买
sort,种类；分类
fever,发热；发烧
communicate,传达；交流；通讯
up,向上
replace,替换；取代
complicate,使复杂；使陷入
hell,地狱；极不愉快的地方
duty,职责；税
week,星期，周
definition,定义，释义
primary,主要的；初级的
broadcast,广播，播放
mislead,误导
capital,首都；资本
support,支持；支撑
cling,粘住；依附
aeroplane,飞机
credit,信用，信任；学分
screen,屏幕；筛
alter,改变，变更；改做
anticipate,预料，预期，期望
travel,旅行
derive,取得；起源
grace,优美；优雅
arrest,逮捕，拘留；阻止
type,类型；打字
twelve,十二
million,百万
suspect,怀疑；嫌疑人
drop,落下；滴；下降
kilometer,千米，公里
word,词；单词
review,复习；评论
further,更远的；进一步
forget,忘记
mankind,人类
deaf,聋的
fork,叉；餐叉
sick,有病的；厌恶的
ecology,生态学
sell,卖，销售
construction,建造；建筑物
mean,意思是；平均的
certainly,一定，必定；当然
lately,最近
beauty,美，美丽；美人
airplane,飞机
prime,首要的；最好的
reasonable,合理的
increasingly,日益，越来越多地
airline,航空公司；航线
wear,穿；磨损
square,正方形；广场
merit,优点；价值
trial,审判；试验
intelligent,聪明的
function,功能；职责
imagine,想象；设想
allow,允许，准许；任
territory,领土；领域
length,长度
energy,精力；能量
version,版本
naval,海军的
demand,要求；需要
remain,保持；剩余
pleasure,快乐；乐趣
photograph,照片
justice,正义；司法
imply,暗示，意指
extra,额外的；特别的
grandmother,祖母，外祖母
access,接近；通道，入口
monitor,班长；监视器
house,房屋；住宅
provision,供应；规定
advice,劝告；忠告；意见
tank,坦克；水箱
immigrant,移民
key,钥匙；关键的
cycle,自行车；循环
attend,出席；照顾，护理
joint,接合处；联合的
mention,提到，说起
pitch,投掷；沥青
free,自由的；免费的
interpretation,解释；口译
jet,喷气式飞机；喷射
audience,听众，观众，读者
december,十二月
clock,钟，时钟
humorous,幽默的
dictionary,词典，字典
clean,清洁的；打扫
venture,冒险；风险投资
battery,电池；一套，一组
pie,馅饼
flee,逃跑；逃避
fun,乐趣；有趣的人
encounter,遭遇，遇到
dip,浸；蘸
evolve,使进化；发展
barrel,桶；圆筒；枪管
lift,举起；电梯
enlarge,扩大；放大
disease,疾病
sale,出售；廉价出售
must,必须；一定
pack,包；打包
entry,进入；入口；条目
double,两倍的；双的
eastern,东方的；东部的
lunch,午餐
mobile,移动的；手机
college,学院，大学
long,长的；渴望
shoulder,肩膀
lamp,灯
occasion,场合；时机
restore,恢复；修复
literary,文学的
first,第一的；首先
reduction,减少；降低
precious,珍贵的
talent,才能；天才
meeting,会议；集会
celebrate,庆祝；歌颂
march,三月；行军
cafe,咖啡馆；小餐厅
dragon,龙
powerful,强大的
tap,水龙头；轻叩
meet,遇见；开会
out,出；在外面
confusion,混乱；混淆；困惑
delegation,代表团
laboratory,实验室
bother,烦扰，迷惑；麻烦
acceptable,可接受/合意的
citizen,公民；市民
dive,跳水；潜水
inquire,询问；调查
newspaper,报纸
hunt,打猎；搜寻
count,计算；有价值
province,省
schedule,时间表；安排
january,一月
manufacture,制造；生产
badly,坏，差；严重地
respond,回答；响应
trip,旅行
wealth,财富；丰富
appoint,任命，委任；约定
ago,以前
circumstance,情况，环境；境遇
creature,生物，动物
traditional,传统的
fence,栅栏，篱笆
direction,方向；指导
than,比
fuel,燃料
wonderful,极好的
screw,螺丝钉；拧
organization,组织；机构
everyday,每天的；日常的
bee,蜂，蜜蜂；忙碌的人
compulsory,强制的；义务的
miserable,痛苦的；悲惨的
opening,开始； openings
term,学期；术语
listen,听；倾听
steady,稳定的
member,成员，会员
fluid,流体；流动的
tree,树
push,推；推动
switch,开关；转换
three,三
exceed,超过，胜过
family,家庭；家族
ability,能力；能耐，本领
poetry,诗歌
interior,内部的；内地
fact,事实；实际
profession,职业
revolution,革命
confess,供认，承认；坦白
tend,倾向；易于
kick,踢
correct,正确的；纠正
card,卡，卡片；名片
possession,所有物；拥有
explore,探险；探索
institute,研究所；学院
forest,森林
interview,接见；面试
fee,费，酬金
offer,提供；提议
face,脸；面向
cancel,取消，撤销
file,档案；文件夹
royal,王室的；皇家的
four,四
away,离开，远离；…去
lazy,懒惰的
hardware,五金器具；硬件
cover,盖，覆盖；包括
phrase,短语；措辞
owe,欠；归功于
above,在…上面；高于
lens,透镜；镜头
appear,出现；来到；似乎
dumb,哑的；无言的
copper,铜；铜币
publication,出版；出版物
hydrogen,氢
bucket,水桶；吊桶
opera,歌剧
report,报告；报道
less,更少的
target,目标；靶子
give,给；授予
left,左边的；离开
reform,改革
bowl,碗，钵；碗状物
ankle,踝，踝节部
supply,供应；供给
qualify,使合格；限制
unfortunately,不幸地
edition,版，版本
strengthen,加强
alarm,惊恐，忧虑；警报
freedom,自由
thing,事情；东西
inquiry,询问；调查
on,在…上；关于
set,放；设置
grand,宏伟的；重大的
equip,装备，配备
whisper,低语；耳语
equality,平等，同等
former,以前的；前者
inner,内部的；内心的
cottage,村舍，小屋
slope,倾斜；斜坡
age,年龄；时代；变老
deposit,存款；沉积物
destroy,破坏，消灭
fare,车费，船费
governor,州长；总督
mature,成熟的
crew,全体船员；全体组员
depend,依靠，依赖
mind,头脑；介意
announcer,宣告者；播音员
humble,谦逊的；卑微的
boundary,分界线，边界
collision,碰撞；冲突
unlikely,不太可能的
downtown,在商业区
involve,使卷入；涉及
frequent,频繁的
consider,考虑；认为
agony,极度痛苦
iron,铁；熨斗
conquer,征服，战胜
commercial,商业的；商品化的
disagree,不同意；不一致
clumsy,笨拙的；愚笨的
roof,屋顶
terror,恐怖
preference,偏爱；优先
